pearsons_correlation,Metadata_treatment,reference,Metadata_Pathway
0.6453850305103931,UCD-0159257,Healthy,DNA Damage
0.5722953229789098,UCD-0159257,Healthy,DNA Damage
0.6361902102490898,UCD-0159257,Healthy,DNA Damage
0.7293204440380611,UCD-0159257,Healthy,DNA Damage
0.7591705753229068,UCD-0159257,Healthy,DNA Damage
0.7131892660820605,UCD-0159257,Healthy,DNA Damage
0.7291653247787969,UCD-0159257,Healthy,DNA Damage
0.5125790578132144,UCD-0159257,Healthy,DNA Damage
0.5618925921488624,UCD-0159257,Healthy,DNA Damage
0.495576953065669,UCD-0159257,Healthy,DNA Damage
0.5923659361520578,UCD-0159257,Healthy,DNA Damage
0.640072291865496,UCD-0159257,Healthy,DNA Damage
0.6629875165050344,UCD-0159257,Healthy,DNA Damage
0.6220619593657397,UCD-0159257,Healthy,DNA Damage
0.6507188549207082,UCD-0159257,Healthy,DNA Damage
0.6030146140562035,UCD-0159257,Healthy,DNA Damage
0.6220929530630441,UCD-0159257,Healthy,DNA Damage
0.5741440232683092,UCD-0159257,Healthy,DNA Damage
0.6155335544738408,UCD-0159257,Healthy,DNA Damage
0.6965620995646207,UCD-0159257,Healthy,DNA Damage
0.709968836522825,UCD-0159257,Healthy,DNA Damage
0.6041461418914333,UCD-0159257,Healthy,DNA Damage
0.6879504207399866,UCD-0159257,Healthy,DNA Damage
0.6941153471755164,UCD-0159257,Healthy,DNA Damage
0.6605396477292058,UCD-0159257,Healthy,DNA Damage
0.5929616977224444,UCD-0159257,Healthy,DNA Damage
0.5159278942121099,UCD-0159257,Healthy,DNA Damage
0.02205243894525472,UCD-0159258,Healthy,No Pathway
0.020773391991669284,UCD-0159258,Healthy,No Pathway
0.07179817782672035,UCD-0159258,Healthy,No Pathway
0.047063110780695125,UCD-0159258,Healthy,No Pathway
0.005772291623962898,UCD-0159258,Healthy,No Pathway
0.04371494176981986,UCD-0159258,Healthy,No Pathway
0.06471894633079121,UCD-0159258,Healthy,No Pathway
-0.017549877906139877,UCD-0159258,Healthy,No Pathway
-0.11984988817671556,UCD-0159258,Healthy,No Pathway
-0.12202631496073876,UCD-0159258,Healthy,No Pathway
-0.0904486690529951,UCD-0159258,Healthy,No Pathway
-0.12339217521840168,UCD-0159258,Healthy,No Pathway
-0.17080040020372383,UCD-0159258,Healthy,No Pathway
-0.26735419628796175,UCD-0159258,Healthy,No Pathway
-0.21216659575508015,UCD-0159258,Healthy,No Pathway
-0.19834545083571475,UCD-0159258,Healthy,No Pathway
-0.04811647936324278,UCD-0159258,Healthy,No Pathway
-0.014786163055780002,UCD-0159258,Healthy,No Pathway
7.607749174295028e-05,UCD-0159258,Healthy,No Pathway
-0.06597839785178775,UCD-0159258,Healthy,No Pathway
-0.024302404481440304,UCD-0159258,Healthy,No Pathway
-0.0179046113109115,UCD-0159258,Healthy,No Pathway
0.0044265827447246674,UCD-0159258,Healthy,No Pathway
-0.012963038181319634,UCD-0159258,Healthy,No Pathway
-0.05308359106385294,UCD-0159258,Healthy,No Pathway
-0.12334604629029383,UCD-0159258,Healthy,No Pathway
-0.07792899404121607,UCD-0159258,Healthy,No Pathway
-0.05005823268118237,UCD-0159258,Healthy,No Pathway
-0.16252676895094337,UCD-0159258,Healthy,No Pathway
-0.21462160357212387,UCD-0159258,Healthy,No Pathway
-0.2429438585157579,UCD-0159258,Healthy,No Pathway
-0.17479358005143775,UCD-0159258,Healthy,No Pathway
0.11426379102133646,UCD-0159258,Healthy,No Pathway
0.03374445718216906,UCD-0159258,Healthy,No Pathway
0.13239245726378243,UCD-0159258,Healthy,No Pathway
0.09794827569331833,UCD-0159258,Healthy,No Pathway
0.18605988516410044,UCD-0159258,Healthy,No Pathway
0.11089943396159622,UCD-0159258,Healthy,No Pathway
0.19641554023009852,UCD-0159258,Healthy,No Pathway
0.14580988120587288,UCD-0159258,Healthy,No Pathway
-0.06018913248036769,UCD-0159258,Healthy,No Pathway
-0.08211180790576059,UCD-0159258,Healthy,No Pathway
-0.0577878600214958,UCD-0159258,Healthy,No Pathway
-0.06570984801021942,UCD-0159258,Healthy,No Pathway
-0.04588374736729483,UCD-0159258,Healthy,No Pathway
-0.13285632539757622,UCD-0159258,Healthy,No Pathway
-0.11174182119210097,UCD-0159258,Healthy,No Pathway
-0.023165810874619275,UCD-0159258,Healthy,No Pathway
-0.012426658642592117,UCD-0159258,Healthy,No Pathway
0.0282729814011642,UCD-0159258,Healthy,No Pathway
0.09357863769580832,UCD-0159258,Healthy,No Pathway
-0.04243461322447345,UCD-0159258,Healthy,No Pathway
-0.031269447986775604,UCD-0159258,Healthy,No Pathway
-0.027095493500820633,UCD-0159258,Healthy,No Pathway
0.03354833591973382,UCD-0159258,Healthy,No Pathway
-0.045806562945835246,UCD-0159258,Healthy,No Pathway
-0.14317215859528676,UCD-0159258,Healthy,No Pathway
-0.1573292105095892,UCD-0159258,Healthy,No Pathway
-0.1028807589784387,UCD-0159258,Healthy,No Pathway
-0.14422003390628788,UCD-0159258,Healthy,No Pathway
-0.16837574134769412,UCD-0159258,Healthy,No Pathway
-0.11804815544562205,UCD-0159258,Healthy,No Pathway
-0.12284114330106342,UCD-0159258,Healthy,No Pathway
-0.18533004070292933,UCD-0159258,Healthy,No Pathway
-0.09711622804993358,UCD-0159259,Healthy,PI3K/Akt/mTOR
-0.004439986886047232,UCD-0159259,Healthy,PI3K/Akt/mTOR
-0.09018694389908785,UCD-0159259,Healthy,PI3K/Akt/mTOR
0.05773732760835036,UCD-0159259,Healthy,PI3K/Akt/mTOR
0.015935054239142092,UCD-0159259,Healthy,PI3K/Akt/mTOR
0.08977354208182438,UCD-0159259,Healthy,PI3K/Akt/mTOR
-0.07272632428853999,UCD-0159259,Healthy,PI3K/Akt/mTOR
0.14798893569152535,UCD-0159259,Healthy,PI3K/Akt/mTOR
-0.08736974300010004,UCD-0159259,Healthy,PI3K/Akt/mTOR
-0.007151843224576763,UCD-0159259,Healthy,PI3K/Akt/mTOR
-0.08659584937806232,UCD-0159259,Healthy,PI3K/Akt/mTOR
0.08332579410958606,UCD-0159259,Healthy,PI3K/Akt/mTOR
-0.15914284721625238,UCD-0159259,Healthy,PI3K/Akt/mTOR
-0.07923394066733282,UCD-0159259,Healthy,PI3K/Akt/mTOR
-0.04677342233019277,UCD-0159259,Healthy,PI3K/Akt/mTOR
0.03859142813608992,UCD-0159259,Healthy,PI3K/Akt/mTOR
-0.15494356521552027,UCD-0159259,Healthy,PI3K/Akt/mTOR
-0.048935405853867464,UCD-0159259,Healthy,PI3K/Akt/mTOR
-0.13529456138038226,UCD-0159259,Healthy,PI3K/Akt/mTOR
0.026257388254558995,UCD-0159259,Healthy,PI3K/Akt/mTOR
-0.19126138570643744,UCD-0159259,Healthy,PI3K/Akt/mTOR
-0.10654276491329936,UCD-0159259,Healthy,PI3K/Akt/mTOR
-0.1690519063178847,UCD-0159259,Healthy,PI3K/Akt/mTOR
-0.05057197687173241,UCD-0159259,Healthy,PI3K/Akt/mTOR
-0.2279464198944308,UCD-0159259,Healthy,PI3K/Akt/mTOR
-0.1720318891531446,UCD-0159259,Healthy,PI3K/Akt/mTOR
-0.23640887061854735,UCD-0159259,Healthy,PI3K/Akt/mTOR
-0.08321202126794289,UCD-0159259,Healthy,PI3K/Akt/mTOR
-0.36894347977721326,UCD-0159259,Healthy,PI3K/Akt/mTOR
-0.3819530161195711,UCD-0159259,Healthy,PI3K/Akt/mTOR
-0.2574968099410721,UCD-0159259,Healthy,PI3K/Akt/mTOR
-0.2782414863125797,UCD-0159259,Healthy,PI3K/Akt/mTOR
0.12763115854487178,UCD-0159259,Healthy,PI3K/Akt/mTOR
0.1870762839394655,UCD-0159259,Healthy,PI3K/Akt/mTOR
-0.1358143956131883,UCD-0159259,Healthy,PI3K/Akt/mTOR
0.23021918940004468,UCD-0159259,Healthy,PI3K/Akt/mTOR
0.3221132087354894,UCD-0159259,Healthy,PI3K/Akt/mTOR
0.35016631915938795,UCD-0159259,Healthy,PI3K/Akt/mTOR
0.015226180084879146,UCD-0159259,Healthy,PI3K/Akt/mTOR
0.3477047889674018,UCD-0159259,Healthy,PI3K/Akt/mTOR
0.22513274748452755,UCD-0159259,Healthy,PI3K/Akt/mTOR
0.23877289575479457,UCD-0159259,Healthy,PI3K/Akt/mTOR
-0.03126812228745768,UCD-0159259,Healthy,PI3K/Akt/mTOR
0.3173727605179036,UCD-0159259,Healthy,PI3K/Akt/mTOR
0.2634111758933535,UCD-0159259,Healthy,PI3K/Akt/mTOR
0.21721990316668854,UCD-0159259,Healthy,PI3K/Akt/mTOR
-0.058294705688010186,UCD-0159259,Healthy,PI3K/Akt/mTOR
0.2691794616961376,UCD-0159259,Healthy,PI3K/Akt/mTOR
0.14517170805073526,UCD-0159259,Healthy,PI3K/Akt/mTOR
0.20881724745098565,UCD-0159259,Healthy,PI3K/Akt/mTOR
0.025487639951478597,UCD-0159259,Healthy,PI3K/Akt/mTOR
0.2584079449709885,UCD-0159259,Healthy,PI3K/Akt/mTOR
-0.014176162607180815,UCD-0159259,Healthy,PI3K/Akt/mTOR
0.03995103753877592,UCD-0159259,Healthy,PI3K/Akt/mTOR
-0.06405631607043812,UCD-0159259,Healthy,PI3K/Akt/mTOR
0.09864321655241398,UCD-0159259,Healthy,PI3K/Akt/mTOR
-0.0318373990908361,UCD-0159259,Healthy,PI3K/Akt/mTOR
0.009965476043850207,UCD-0159259,Healthy,PI3K/Akt/mTOR
-0.0061632626240800065,UCD-0159259,Healthy,PI3K/Akt/mTOR
0.06806739142381894,UCD-0159259,Healthy,PI3K/Akt/mTOR
-0.18548281235308628,UCD-0159259,Healthy,PI3K/Akt/mTOR
-0.09242895839571719,UCD-0159259,Healthy,PI3K/Akt/mTOR
0.12878631296197493,UCD-0159259,Healthy,PI3K/Akt/mTOR
0.025124170991059472,UCD-0159259,Healthy,PI3K/Akt/mTOR
0.38741544043530324,UCD-0159261,Healthy,Others
0.3912254663639142,UCD-0159261,Healthy,Others
0.3712794536041092,UCD-0159261,Healthy,Others
0.38017773835386826,UCD-0159261,Healthy,Others
0.3729488303437122,UCD-0159261,Healthy,Others
0.3862568016339216,UCD-0159261,Healthy,Others
0.33605077989531745,UCD-0159261,Healthy,Others
0.36432693793405635,UCD-0159261,Healthy,Others
0.37290415644123065,UCD-0159261,Healthy,Others
0.38851015927394567,UCD-0159261,Healthy,Others
0.3394483093365848,UCD-0159261,Healthy,Others
0.3557751483053708,UCD-0159261,Healthy,Others
0.22118665083412442,UCD-0159261,Healthy,Others
0.21659908102387532,UCD-0159261,Healthy,Others
0.2186695566697244,UCD-0159261,Healthy,Others
0.21296059465131675,UCD-0159261,Healthy,Others
0.3447370771137833,UCD-0159261,Healthy,Others
0.3432232426787054,UCD-0159261,Healthy,Others
0.3280663030288605,UCD-0159261,Healthy,Others
0.3306028144578443,UCD-0159261,Healthy,Others
0.47469729738397004,UCD-0159261,Healthy,Others
0.48060229159969764,UCD-0159261,Healthy,Others
0.4525156599289408,UCD-0159261,Healthy,Others
0.46979089481244,UCD-0159261,Healthy,Others
0.46039232511932116,UCD-0159261,Healthy,Others
0.4628356083291435,UCD-0159261,Healthy,Others
0.45221933786637386,UCD-0159261,Healthy,Others
0.4518537534311732,UCD-0159261,Healthy,Others
0.5022895535468557,UCD-0159261,Healthy,Others
0.4765142106008589,UCD-0159261,Healthy,Others
0.49349435897743155,UCD-0159261,Healthy,Others
0.47552644705370184,UCD-0159261,Healthy,Others
0.3449079817518258,UCD-0159261,Healthy,Others
0.3840504258769096,UCD-0159261,Healthy,Others
0.3574973501133806,UCD-0159261,Healthy,Others
0.3598009631831784,UCD-0159261,Healthy,Others
0.18346957933207522,UCD-0159261,Healthy,Others
0.20322402446619417,UCD-0159261,Healthy,Others
0.19682002910831922,UCD-0159261,Healthy,Others
0.19373167469610958,UCD-0159261,Healthy,Others
0.28627218209072947,UCD-0159261,Healthy,Others
0.32220540817762855,UCD-0159261,Healthy,Others
0.28399636304292075,UCD-0159261,Healthy,Others
0.28542270573411993,UCD-0159261,Healthy,Others
0.3155821545047764,UCD-0159261,Healthy,Others
0.371861884818389,UCD-0159261,Healthy,Others
0.3290026518165783,UCD-0159261,Healthy,Others
