Catalog Number,UCD ID,Product Name,Original Plate,Original Well,New Plate,New Well,MW,CAS Number,Target,Information,Pathway
S8023,UCD-0159629,TCS 359,L2000-07,B06,L2000-10,D11,360.43,301305-73-7,FLT3,TCS 359 is a potent FLT3 inhibitor with IC50 of 42 nM.,Angiogenesis
DMSO,,DMSO,L2000-07,A01,L2000-10,E02,,,,,
S8047,UCD-0159637,Dynasore,L2000-07,B07,L2000-10,E03,322.31,304448-55-3,Dynamin,"Dynasore is a cell-permeable, reversible non-competitive dynamin inhibitor of GTPase activity of dynamin 1/2, with IC50 of 15 μM, also inhibits the mitochondrial dynamin Drp1, with no effect against other small GTPase.",Others
S8101,UCD-0159645,CB-5083,L2000-07,B08,L2000-10,E04,413.47,1542705-92-9,ATPase,"CB-5083 is a potent, selective, and orally bioavailable p97 AAA ATPase inhibitor with IC50 of 11 nM. Phase 1.",Transmembrane Transporters
DMSO,,DMSO,L2000-07,B01,L2000-10,E05,,,,,
S8134,UCD-0159651,Radotinib,L2000-07,B09,L2000-10,E06,530.50,926037-48-1,Bcr-Abl,"Radotinib is a selective BCR-ABL1 tyrosine kinase inhibitor with IC50 of 34 nM, used to treat Chronic Myeloid Leukemia.",Angiogenesis
S8205,UCD-0159659,Enasidenib (AG-221),L2000-07,B10,L2000-10,E07,473.38,1446502-11-9,Dehydrogenase,"Enasidenib is a first-in-class, oral, potent, reversible, selective inhibitor of the IDH2 mutant enzyme.",Metabolism
DMSO,,DMSO,L2000-07,C01,L2000-10,E08,,,,,
S7844,UCD-0159666,Cyclo(RGDyK),L2000-07,C02,L2000-10,E09,847.72,250612-42-1,Integrin,"Cyclo(RGDyK) is a potent and selective <b>αVβ3 integrin</b> inhibitor with <b>IC50</b> of 20 nM. 
",Cytoskeletal Signaling
S7900,UCD-0159607,SW033291,L2000-07,C03,L2000-10,E10,412.59,459147-39-8,Dehydrogenase,"SW033291 is a selective inhibitor of 15-hydroxyprostaglandin dehydrogenase (15-PGDH) with IC50 and Kiapp of 1.5 nM and 0.1 nM, respectively.",Metabolism
DMSO,,DMSO,L2000-07,D01,L2000-10,E11,,,,,
S7941,UCD-0159614,NCT-501,L2000-07,C04,L2000-10,F02,416.52,1802088-50-1,Dehydrogenase,NCT-501 is a potent and selective inhibitor of Aldehyde Dehydrogenase 1A1 (ALDH1A1) with IC50 of 40 nM. ,Metabolism
S8005,UCD-0159622,SMI-4a,L2000-07,C05,L2000-10,F03,273.23,438190-29-5,Pim,"SMI-4a is a potent inhibitor of Pim1 with IC50 of 17 nM, modest potent to Pim-2, does not significantly inhibit other serine/threonine- or tyrosine-kinases.",JAK/STAT
S8028,UCD-0159630,Tariquidar,L2000-07,C06,L2000-10,F04,646.73,206873-63-4,P-gp,"Tariquidar (XR9576) is a potent and selective noncompetitive inhibitor of P-glycoprotein with Kd of 5.1 nM, reverses drug resistance in MDR cell Lines. Phase 3.",Transmembrane Transporters
S8048,UCD-0159638,"Venetoclax (ABT-199, GDC-0199)",L2000-07,C07,L2000-10,F05,868.44,1257044-40-8,Bcl-2,"ABT-199 (GDC-0199) is a Bcl-2-selective inhibitor with Ki of <0.01 nM, >4800-fold more selective versus Bcl-xL and Bcl-w, and no activity to Mcl-1. Phase 2.",Apoptosis
S8104,UCD-0159646,SCH58261,L2000-07,C08,L2000-10,F06,345.36,160098-96-4,Adenosine Receptor,"SCH 58261 is a potent and selective A2a adenosine receptor antagonist with Ki of 2.3 nM and 2 nM for rat A2a and bovine A2a, respectively.",GPCR & G Protein
S8136,UCD-0159652,Sivelestat (ONO-5046),L2000-07,C09,L2000-10,F07,434.46,127373-66-4,Serine Protease,Sivelestat is a potent and selective inhibitor of neutrophil elastase with IC50</B> of 44nM. It almost shows no activity at a range of other proteases.,Proteases
S8209,UCD-0159660,HLCL-61 HCL,L2000-07,C10,L2000-10,F08,380.91,1158279-20-9,Histone Methyltransferase,HLCL-61 hydrochloride is a potent and selective PRMT5 inhibitor for the treatment of acute myeloid leukemia.,Epigenetics
S7845,UCD-0159600,SirReal2,L2000-07,D02,L2000-10,F09,420.55,709002-46-0,Sirtuin,"SirReal2 is a potent and selective <b>Sirt2</b> inhibitor with <b>IC50</b> of 140 nM. 
",Epigenetics
S7906,UCD-0001957,PFI-4,L2000-07,D03,L2000-10,F10,380.44,900305-37-5,Epigenetic Reader Domain,"PFI-4 is a potent and selective <b>BRPF1 bromodomain</b> inhibitor with <b>IC50</b> of 80 nM.
",Epigenetics
S7946,UCD-0159615,KC7F2,L2000-07,D04,L2000-10,F11,570.38,927822-86-4,HIF,"KC7F2 is a selective <b>HIF-1α</b> transcription inhibitor with <b>IC50</b> of 20 μM in a cell-based assay.
",Angiogenesis
S8007,UCD-0159623,VE-821,L2000-07,D05,L2000-10,G02,368.41,1232410-49-9,ATM/ATR,"VE-821 is a potent and selective ATP competitive inhibitor of ATR with Ki/IC50 of 13 nM/26 nM, shows inhibition of H2AX phosphorylation, minimal activity against PIKKs ATM, DNA-PK, mTOR and PI3Kγ.",DNA Damage
S8031,UCD-0159631,NSC 23766,L2000-07,D06,L2000-10,G03,530.96,1177865-17-6,Rho,"NSC 23766 is an inhibitor of Rac GTPase targeting Rac activation by guanine nucleotide exchange factors (GEFs) with IC50 of ~50 μM; does not inhibit the closely related  targets, Cdc42 or RhoA.",Cell Cycle
S8054,UCD-0159639,ASP3026,L2000-07,D07,L2000-10,G04,580.74,1097917-15-1,ALK,ASP3026 is a novel and selective inhibitor for ALK  with IC50 of 3.5 nM. Phase 1.,Protein Tyrosine Kinase
S8105,UCD-0159647,ZM241385,L2000-07,D08,L2000-10,G05,337.34,139180-30-6,Adenosine Receptor,ZM-241385?is a high affinity antagonist ligand selective for the adenosine A2A receptor.,GPCR & G Protein
S8167,UCD-0159653,AMG 337,L2000-07,D09,L2000-10,G06,463.46,1173699-31-4,c-Met,"AMG 337 is an oral, small molecule, ATP-competitive, highly selective inhibitor of the MET receptor.",Protein Tyrosine Kinase
S8238,UCD-0159661,SB366791,L2000-07,D10,L2000-10,G07,287.74,472981-92-3,TRPV,"SB-366791 is a novel, potent, and selective, cinnamide TRPV1 antagonist.",Transmembrane Transporters
S7847,UCD-0159601,SGI-7079,L2000-07,E02,L2000-10,G08,455.53,1239875-86-5,VEGFR,"SGI-7079 ,a novel selective Axl inhibitor, inhibits tumor growth in a dose dependent manner and is a potential therapeutic target for overcoming EGFR inhibitor resistance.",Protein Tyrosine Kinase
S7910,UCD-0159608,Epacadostat (INCB024360),L2000-07,E03,L2000-10,G09,438.23,1204669-58-8,IDO,"Epacadostat (INCB024360) is a potent and selective indoleamine 2,3-dioxygenase (<b>IDO1</b>) inhibitor with <b>IC50</b> of 10 nM. Phase 2.
",Metabolism
S7952,UCD-0159616,Ozanimod (RPC1063),L2000-07,E04,L2000-10,G10,404.46,1306760-87-1,S1P Receptor,Ozanimod (RPC1063) is a selective oral S1P Receptor 1 modulator. Phase 3.,GPCR & G Protein
S8012,UCD-0159624,Otenabant (CP-945598) HCl,L2000-07,E05,L2000-10,G11,546.88,686347-12-6,Cannabinoid Receptor,"Otenabant (CP-945598) HCl is a potent and selective cannabinoid receptor CB1 antagonist with Ki of 0.7 nM, exhibits 10,000-fold greater selectivity against human CB2 receptor. Phase 1.",GPCR & G Protein
DMSO,,DMSO,L2000-07,E01,L2000-11,B02,,,,,
S8032,UCD-0159632,"PRT062607 (P505-15, BIIB057) HCl",L2000-07,E06,L2000-11,B03,429.91,"1370261-97-4,1370261-96-3(free base)",Syk,"PRT062607 (P505-15) HCl is a novel, highly selective Syk inhibitor with IC50 of 1 nM, >80-fold selective for Syk than Fgr, Lyn, FAK, Pyk2 and Zap70.",Angiogenesis
S8056,UCD-0159640,Lomeguatrib,L2000-07,E07,L2000-11,B04,326.17,192441-08-0,DNA Methyltransferase,Lomeguatrib is a potent inhibitor of O6-alkylguanine-DNA-alkyltransferase with IC50 of 5 nM.,Epigenetics
DMSO,,DMSO,L2000-07,F01,L2000-11,B05,,,,,
S8111,UCD-0001952,GSK591,L2000-07,E08,L2000-11,B06,380.48,1616391-87-7,Histone Methyltransferase,"GSK591 (EPZ015866,GSK3203591) is a potent selective inhibitor of the arginine methyltransferase PRMT5 with IC50 of 11 nM.",Epigenetics
S8179,UCD-0159654,BI-7273,L2000-07,E09,L2000-11,B07,353.41,1883429-21-7,Epigenetic Reader Domain,"BI-7273 is a potent, selective, and cell-permeable BRD9 BD Inhibitor.",Epigenetics
DMSO,,DMSO,L2000-07,G01,L2000-11,B08,,,,,
S8241,UCD-0159662,Ponesimod,L2000-07,E10,L2000-11,B09,460.97,854107-55-4,S1P Receptor,"Ponesimod(ACT-128800) is an orally active, selective sphingosine-1-phosphate receptor 1 (S1P1) immunomodulator with EC50 of 5.7 nM.",GPCR & G Protein
S7877,UCD-0159602,ONO-4059 analogue,L2000-07,F02,L2000-11,B10,456.50,1351635-67-0,BTK,"ONO-4059 is a highly potent and selective oral <b>BTK</b> inhibitor with <b>IC50</b> of 23.9 nM. Phase 1.
",Angiogenesis
DMSO,,DMSO,L2000-07,H01,L2000-11,B11,,,,,
S7922,UCD-0159609,Tiplaxtinin (PAI-039),L2000-07,F03,L2000-11,C02,439.38,393105-53-8,Others,"Tiplaxtinin(PAI-039) is an orally efficacious and selective plasminogen activator inhibitor-1 (<b>PAI-1</b>) inhibitor with <b>IC50</b> of 2.7 μM. 
",Others
S7955,UCD-0159617,EPI-001,L2000-07,F04,L2000-11,C03,394.89,227947-06-0,Androgen Receptor,EPI-001 is an androgen receptor N-terminal domain antagonist with IC50 of ∼6 μM and a selective PPAR-gamma modulator.,Endocrinology & Hormones
S8014,UCD-0159625,GW9508,L2000-07,F05,L2000-11,C04,347.41,885101-89-3,GPR,"GW9508 is a potent and selective agonist for FFA1 (GPR40) with pEC50 of 7.32, 100-fold selective against GPR120, stimulates insulin secretion in a glucose-sensitive manner.",Endocrinology & Hormones
S8037,UCD-0159633,Necrostatin-1,L2000-07,F06,L2000-11,C05,259.33,4311-88-0,TNF-alpha,Necrostatin-1 is a specific RIP1 inhibitor and inhibits TNF-α-induced necroptosis with EC50 of 490 nM.,Apoptosis
S8057,UCD-0159641,Pacritinib (SB1518),L2000-07,F07,L2000-11,C06,472.58,937272-79-2,"FLT3,JAK","Pacritinib (SB1518) is a potent and selective inhibitor of Janus Kinase 2 (JAK2) and Fms-Like Tyrosine Kinase-3 (FLT3) with IC50s of 23 and 22 nM, respectively.",JAK/STAT
S8112,UCD-0001953,MS023,L2000-07,F08,L2000-11,C07,287.40,1831110-54-3,Histone Methyltransferase,"MS023 is a potent, selective, and cell-active Type I PRMT inhibitor with IC50 of 30 nM, 119 nM, 83 nM, 4 nM, and 5 nM for PRMT1, PRMT3, PRMT4, PRMT6 and PRMT8, respectively.",Epigenetics
S8180,UCD-0159655,PF-CBP1 HCl,L2000-07,F09,L2000-11,C08,525.08,NA,Epigenetic Reader Domain,PF-CBP1 is a highly selective inhibitor of the bromodomain of CREB-binding protein(CREBBP).It inhibits CREBBP and p300 bromodomains with IC50 of 125 and 363 nM respectively.,Epigenetics
S8319,UCD-0159663,"7,8-Dihydroxyflavone",L2000-07,F10,L2000-11,C09,254.24,38183-03-8,Trk receptor,"7,8-Dihydroxyflavone acts as a potent and selective small-molecule agonist of the TrkB receptor (Kd ≈ 320 nM), the main signaling receptor of brain-derived neurotrophic factor (BDNF).",Protein Tyrosine Kinase
S7883,UCD-0159603,BQ-123,L2000-07,G02,L2000-11,C10,610.7,136553-81-6,Endothelin Receptor,"BQ-123 is a selective <b>endothelin A receptor (ETA)</b> antagonist with <b>IC50</b> of 7.3 nM. Phase 2.
",GPCR & G Protein
S7924,UCD-0159610,Bay K 8644,L2000-07,G03,L2000-11,C11,356.30,71145-03-4,Calcium Channel,"Bay K 8644 is a potent, selective activator of L-type Ca2+ channel with IC50 of 17.3 nM.",Transmembrane Transporters
