Catalog Number,UCD ID,Product Name,Original Plate,Original Well,New Plate,New Well,MW,CAS Number,Target,Information,Pathway
S2179,UCD-0001847,Gandotinib (LY2784544),L2000-02,B11,L2000-02,G07,469.94,1229236-86-5,JAK,"LY2784544 is a potent JAK2 inhibitor with IC50 of 3 nM, effective in JAK2V617F, 8- and 20-fold selective versus JAK1 and JAK3. Phase 2.",JAK/STAT
S1398,UCD-0159297,Stavudine (d4T),L2000-02,C02,L2000-02,G08,224.21,3056-17-5,Reverse Transcriptase,Stavudine is a nucleoside analog reverse transcriptase inhibitor (NARTI) active against HIV. ,Microbiology
S1472,UCD-0159303,Safinamide Mesylate,L2000-02,C03,L2000-02,G09,398.45,202825-46-5,MAO,"Safinamide Mesylate is mesylate salt of Safinamide, selectively and reversibly inhibits MAO-B with IC50 of 98 nM, exhibits 5918-fold selectivity against MAO-A. Phase 3.",Metabolism
S1534,UCD-0159307,Org 27569,L2000-02,C04,L2000-02,G10,409.95,868273-06-7,Cannabinoid Receptor,"Org 27569 is an allosteric modulator of cannabinoid CB1 receptor, induces a CB1 receptor state that is characterized by enhanced agonist affinity and decreased inverse agonist affinity.",GPCR & G Protein
S1565,UCD-0159312,VX-809 (Lumacaftor),L2000-02,C05,L2000-02,G11,452.41,936727-05-8,CFTR,"VX-809 acts to correct CFTR mutations common in cystic fibrosis by increasing mutant CFTR (F508del-CFTR) maturation,EC50 of 0.1 μM. Phase 3.",Transmembrane Transporters
DMSO,,DMSO,L2000-02,D01,L2000-03,B02,,,,,
S1626,UCD-0000253,Naproxen Sodium,L2000-02,C06,L2000-03,B03,252.24,26159-34-2,COX,"Naproxen is a COX inhibitor for COX-1 and COX-2 with IC50 of 8.7 μM and 5.2 μM, respectively.",Neuronal Signaling
S1909,UCD-0000872,Fluvastatin Sodium,L2000-02,C07,L2000-03,B04,433.45,93957-55-2,HMG-CoA Reductase,Fluvastatin Sodium inhibits HMG-CoA reductase activity with IC50 of 8 nM.,Metabolism
DMSO,,DMSO,L2000-02,E01,L2000-03,B05,,,,,
S2020,UCD-0159319,Formoterol Hemifumarate,L2000-02,C08,L2000-03,B06,402.40,43229-80-7,Adrenergic Receptor,"Formoterol hemifumarate is a potent, selective and long-acting β2-adrenoceptor agonist to β2 and β1 receptors with pKd of 8.12 and 5.58, respectively.",Neuronal Signaling
S2077,UCD-0000730,Atorvastatin Calcium ,L2000-02,C09,L2000-03,B07,1155.34,134523-03-8,HMG-CoA Reductase,Atorvastatin (Lipitor) is an inhibitor of HMG-CoA reductase used as a cholesterol-lowering medication that blocks the production of cholesterol.,Metabolism
DMSO,,DMSO,L2000-02,F01,L2000-03,B08,,,,,
S2128,UCD-0018569,Bazedoxifene HCl,L2000-02,C10,L2000-03,B09,507.06,198480-56-7,Estrogen/progestogen Receptor,"Bazedoxifene HCl is a novel, non-steroidal, indole-based estrogen receptor modulator (SERM) binding to both ERα and ERβ with IC50 of  23 nM and 89 nM.",Endocrinology & Hormones
S2180,UCD-0159328,Ixazomib (MLN2238),L2000-02,C11,L2000-03,B10,361.03,1072833-77-2,Proteasome,"MLN2238 inhibits the chymotrypsin-like proteolytic (β5) site of the 20S proteasome with IC50 and Ki of 3.4 nM and 0.93 nM, respectively, also inhibits the caspase-like (β1) and trypsin-like (β2) proteolytic sites, with IC50 of 31 and 3500 nM.",Proteases
DMSO,,DMSO,L2000-02,G01,L2000-03,B11,,,,,
S1452,UCD-0159298,Ispinesib (SB-715992),L2000-02,D02,L2000-03,C02,517.06,336113-53-2,Kinesin,"Ispinesib (SB-715992, CK0238273) is a potent, specific and reversible inhibitor of kinesin spindle protein (KSP) with Ki app of 1.7 nM, no inhibition to CENP-E, RabK6, MCAK, MKLP1, KHC or Kif1A. Phase 1/2.",Cytoskeletal Signaling
S1474,UCD-0159304,GSK429286A,L2000-02,D03,L2000-03,C03,432.37,864082-47-3,ROCK,"GSK429286A is a selective inhibitor of ROCK1 and ROCK2 with IC50 of 14 nM and 63 nM, respectively.",Cell Cycle
S1536,UCD-0159308,CP-673451,L2000-02,D04,L2000-03,C04,417.50,343787-29-1,PDGFR,"CP 673451 is a selective inhibitor of PDGFRα/β with IC50 of 10 nM/1 nM, exhibits >450-fold selectivity over other angiogenic receptors, has antiangiogenic and antitumor activity.",Protein Tyrosine Kinase
S1567,UCD-0018012,Pomalidomide,L2000-02,D05,L2000-03,C05,273.24,19171-19-8,TNF-alpha,Pomalidomide inhibits LPS-induced TNF-α release with IC50 of 13 nM.,Apoptosis
S1776,UCD-0001162,Toremifene Citrate,L2000-02,D06,L2000-03,C06,598.08,89778-27-8,Estrogen/progestogen Receptor,Toremifene Citrate is an oral selective estrogen receptor modulator (SERM) which helps oppose the actions of estrogen in the body.,Endocrinology & Hormones
S1959,UCD-0001305,Tolfenamic Acid,L2000-02,D07,L2000-03,C07,261.70,13710-19-5,COX,Tolfenamic acid is a COX-2 inhibitor with IC50 of 0.2 μM.,Neuronal Signaling
S2026,UCD-0018311,Ginkgolide A,L2000-02,D08,L2000-03,C08,408.40,15291-75-5,GABA Receptor,Ginkgolide A is an extract from in Ginkgo biloba and a g-aminobutyric acid (GABA) antagonist with a Ki of 14.5 μM.,Neuronal Signaling
S2085,UCD-0001441,Trimebutine,L2000-02,D09,L2000-03,C09,387.47,39133-31-8,Opioid Receptor,"Trimebutine is an agonist of peripheral mu, kappa and delta opiate receptors, used as spasmolytic agent for treatment of both acute and chronic abdominal pain.",Neuronal Signaling
S2149,UCD-0159322,GSK1292263,L2000-02,D10,L2000-03,C10,456.56,1032823-75-8,GPR,"GSK1292263 is a novel GPR119 agonist, showing potential for the treatment of type 2 diabetes. Phase 2.",Endocrinology & Hormones
S2193,UCD-0001784,GSK461364,L2000-02,D11,L2000-03,C11,543.60,929095-18-1,PLK,GSK461364 inhibits purified Plk1 with Ki of 2.2 nM. It is more than 1000-fold selective against Plk2/3. Phase 1.,Cell Cycle
S1455,UCD-0159299,Cilomilast,L2000-02,E02,L2000-03,D02,343.42,153259-65-5,PDE,"Cilomilast is a potent PDE4 inhibitor with IC50 of about 110 nM, has anti-inflammatory activity and low central nervous system activity.",Metabolism
S1481,UCD-0159305,Zosuquidar (LY335979) 3HCl,L2000-02,E03,L2000-03,D03,636.99,167465-36-3,P-gp,Zosuquidar (LY335979) is a potent modulator of P-glycoprotein-mediated multi-drug resistance with Ki of 60 nM. Phase 3.,Transmembrane Transporters
S1537,UCD-0159309,DMXAA (Vadimezan),L2000-02,E04,L2000-03,D04,282.29,117570-53-3,VDA,"DMXAA (Vadimezan) is a vascular disrupting agents (VDA) and competitive inhibitor of DT-diaphorase with Ki of 20 μM and IC50 of 62.5 μM, respectively. Phase 3.",Angiogenesis
S1570,UCD-0001843,KU-60019,L2000-02,E05,L2000-03,D05,547.67,925701-49-1,ATM/ATR,"KU-60019 is an improved analogue of KU-55933, with IC50 of 6.3 nM for ATM, 270- and 1600-fold more selective for ATM than DNA-PK and ATR,and is a highly effective radiosensitizer.",DNA Damage
S1801,UCD-0000490,Ranitidine Hydrochloride,L2000-02,E06,L2000-03,D06,350.86,66357-59-3,Histamine Receptor,Ranitidine is a histamine H2-receptor antagonist with IC50 of 3.3 ± 1.4 μM. ,Neuronal Signaling
S2001,UCD-0018439,"Elvitegravir (GS-9137, JTK-303)",L2000-02,E07,L2000-03,D07,447.88,697761-98-1,Integrase,"Elvitegravir (EVG, JTK-303/GS-9137) is an HIV integrase inhibitor for HIV-1 IIIB, HIV-2 EHO and HIV-2 ROD with IC50 of 0.7 nM, 2.8 nM and 1.4 nM, respectively.",Microbiology
S2032,UCD-0001435,Rebamipide,L2000-02,E08,L2000-03,D08,370.79,90098-04-7,Others,Rebamipide is a cholecystokinin type 1 (CCK1) receptor inhibitor for inhibiting [125I]BH-CCK-8S with IC50 of 37.7 μM.,Others
S2090,UCD-0018550,Dexmedetomidine HCl ,L2000-02,E09,L2000-03,D09,236.74,145108-58-3,Adrenergic Receptor,"Dexmedetomidine is a highly selective and potent alpha-2 adrenoceptor agonist, which reduces anesthetic requirements for patients by providing significant sedation.",Neuronal Signaling
S2151,UCD-0159323,Erismodegib (NVP-LDE225),L2000-02,E10,L2000-03,D10,485.50,956697-53-3,Hedgehog/Smoothened,"LDE225 (NVP-LDE225) is a Smoothened (Smo) antagonist, inhibiting Hedgehog (Hh) signaling with IC50 of 1.3 nM (mouse) and 2.5 nM (human), respectively. Phase 3.",Stem Cells &  Wnt
S2198,UCD-0159329,SGI-1776 free base,L2000-02,E11,L2000-03,D11,405.42,1025065-69-3,Pim,"SGI-1776 is a novel ATP competitive inhibitor of Pim1 with IC50 of 7 nM, 50- and 10-fold selective versus Pim2 and Pim3, also potent to Flt3 and haspin. Phase 1.",JAK/STAT
DMSO,,DMSO,L2000-02,H01,L2000-03,E02,,,,,
S1456,UCD-0159300,Zibotentan (ZD4054),L2000-02,F02,L2000-03,E03,424.43,186497-07-4,Endothelin Receptor,"Zibotentan (ZD4054) is a specific Endothelin (ET)A antagonist with IC50 of 21 nM, exhibiting no activity at ETB. Phase 3.",GPCR & G Protein
S1487,UCD-0001790,PHA-793887,L2000-02,F03,L2000-03,E04,361.48,718630-59-2,CDK,"PHA-793887 is a novel and potent inhibitor of CDK2, CDK5 and CDK7 with IC50 of 8 nM, 5 nM and 10 nM. It is greater than 6-fold more selective for CDK2, 5, and 7 than CDK1, 4, and 9. Phase 1.",Cell Cycle
DMSO,,DMSO,L2000-02,A12,L2000-03,E05,,,,,
S1541,UCD-0013217,Selisistat (EX 527),L2000-02,F04,L2000-03,E06,248.71,49843-98-3,Sirtuin,"EX 527 is a potent and selective SIRT1 inhibitor with IC50 of 38 nM, exhibits >200-fold selectivity against SIRT2 and SIRT3.",Epigenetics
S1577,UCD-0159313,Tie2 kinase inhibitor,L2000-02,F05,L2000-03,E07,439.53,948557-43-5,Tie-2,"Tie2 kinase inhibitor is an optimized compound of SB-203580, selective to Tie2 with IC50 of 0.25 μM, 200-fold more potent than p38.",Protein Tyrosine Kinase
DMSO,,DMSO,L2000-02,B12,L2000-03,E08,,,,,
S1802,UCD-0018240,AICAR (Acadesine),L2000-02,F06,L2000-03,E09,258.23,2627-69-2,AMPK,"Acadesine results in accumulation of ZMP, which mimics the stimulating effect of AMP on AMPK and AMPK kinase. Phase 3.",PI3K/Akt/mTOR
S2003,UCD-0018483,Maraviroc,L2000-02,F07,L2000-03,E10,513.67,376348-65-1,CCR,"Maraviroc is a CCR5 antagonist for MIP-1α, MIP-1β and RANTES with IC50 of 3.3 nM, 7.2 nM and 5.2 nM, respectively.",Microbiology
DMSO,,DMSO,L2000-02,C12,L2000-03,E11,,,,,
S2042,UCD-0000101,Cyproterone Acetate,L2000-02,F08,L2000-03,F02,416.94,427-51-0,Androgen Receptor,"Cyproterone acetate is an androgen receptor (AR) antagonist with IC50 of 7.1 nM, as well as a weak progesterone receptor agonist with weak pro-gestational and glucocorticoid activity. ",Endocrinology & Hormones
S2102,UCD-0159320,Rasagiline Mesylate,L2000-02,F09,L2000-03,F03,267.34,161735-79-1,MAO,Rasagiline Mesylate is a new MAO-B inhibitor for the treatment of idiopathic Parkinson's disease.,Metabolism
S2153,UCD-0159324,CGS 21680 HCl,L2000-02,F10,L2000-03,F04,535.98,124431-80-7,Adenosine Receptor,"CGS 21680 HCl is an adenosine A2 receptor agonist with IC50 of 22 nM, exhibits 140-fold over A1 receptor.",Angiogenesis
S2205,UCD-0001869,OSI-420,L2000-02,F11,L2000-03,F05,415.87,183320-51-6,EGFR,OSI-420 is the active metabolite of Erlotinib (EGFR inhibitor with IC50 of 2 nM).,Protein Tyrosine Kinase
S1458,UCD-0001818,VX-745,L2000-02,G02,L2000-03,F06,436.26,209410-46-8,p38 MAPK,"VX-745 is a potent and selective inhibitor of p38α with IC50 of 10 nM, 22-fold greater selectivity versus p38β and no inhibition to p38γ.",MAPK
S1497,UCD-0018051,Pralatrexate ,L2000-02,G03,L2000-03,F07,477.47,146464-95-1,DHFR,"Pralatrexate(Folotyn) is an antifolate, and structurally a folate analog. Its IC50 is < 300 nM in some cell lines.",Metabolism
S1544,UCD-0159310,AM1241,L2000-02,G04,L2000-03,F08,503.33,444912-48-5,Cannabinoid Receptor,"AM-1241 is a selective cannabinoid CB2 receptor agonist with Ki of 3.4 nM, exhibits 82-fold selectivity over CB1 receptor.",GPCR & G Protein
S1582,UCD-0159314,H 89 2HCl,L2000-02,G05,L2000-03,F09,519.28,130964-39-5,"PKA,S6 Kinase","H 89 2HCl is a potent PKA inhibitor with Ki of 48 nM, 10-fold selective for PKA than PKG, greater than 500-fold selectivity than PKC, MLCK, calmodulin kinase II and casein kinase I/II.",PI3K/Akt/mTOR
S1847,UCD-0000083,Clemastine Fumarate,L2000-02,G06,L2000-03,F10,459.96,14976-57-9,Histamine Receptor,Clemastine Fumarate (Clemastine) is a selective histamine H1 receptor antagonist with IC50 of 3 nM.,Neuronal Signaling
S2005,UCD-0018527,Raltegravir (MK-0518),L2000-02,G07,L2000-03,F11,444.42,518048-05-0,Integrase,"Raltegravir (MK-0518) is a potent integrase (IN) inhibitor for WT and S217Q PFV IN with IC50 of 90 nM and 40 nM, respectively.",Microbiology
S2043,UCD-0000469,Memantine HCl,L2000-02,G08,L2000-03,G02,215.76,41100-52-1,AMPA Receptor-kainate Receptor-NMDA Receptor,"Memantine hydrochloride (Namenda) is a CYP2B6 and CYP2D6 inhibitor for recombinant CYP2B6 and CYP2D6 with Ki of 0.51 nM and 94.9 μM, respectively.",Neuronal Signaling
S2103,UCD-0159321,Naltrexone HCl,L2000-02,G09,L2000-03,G03,377.86,16676-29-2,Opioid Receptor,Naltrexone is an opioid receptor antagonist with IC50 of 8 nM used primarily in the management of alcohol dependence and opioid dependence.,Neuronal Signaling
S2163,UCD-0159325,PF-4708671,L2000-02,G10,L2000-03,G04,390.41,1255517-76-0,S6 Kinase,"PF-4708671 is a cell-permeable inhibitor of p70 ribosomal S6 kinase (S6K1 isoform) with Ki/IC50 of 20 nM/160 nM, 400-fold greater selectivity for S6K1 than S6K2, and 4- and >20-fold selectivity for S6K1 than MSK1 and RSK1/2, respectively. First S6K1-specific inhibitor to be reported.",PI3K/Akt/mTOR
S2216,UCD-0159330,Mubritinib (TAK 165),L2000-02,G11,L2000-03,G05,468.47,366017-09-6,HER2,"Mubritinib (TAK-165) is a potent inhibitor of HER2/ErbB2 with IC50 of 6 nM; no activity to EGFR, FGFR, PDGFR, JAK1, Src and Blk.",Protein Tyrosine Kinase
S1459,UCD-0159301,Thiazovivin,L2000-02,H02,L2000-03,G06,311.36,1226056-71-8,ROCK,"Thiazovivin (Tzv) is a novel ROCK inhibitor with IC50 of 0.5 μM, promotes hESC survival after single-cell dissociation.",Cell Cycle
S1525,UCD-0159306,MK-1775,L2000-02,H03,L2000-03,G07,500.60,955365-80-7,Wee1,MK-1775 is a potent and selective Wee1 inhibitor with IC50 of 5.2 nM; hinders G2 DNA damage checkpoint. Phase 2.,Cell Cycle
S1545,UCD-0159311,SB408124,L2000-02,H04,L2000-03,G08,356.37,288150-92-5,OX Receptor,"SB408124 (Tocris-1963) is a non-peptide antagonist for OX1 receptor with Ki of 57 nM and27 nM in both whole cell and membrane, respectively, exhibits 50-fold selectivity over OX2 receptor.",GPCR & G Protein
S1590,UCD-0159315,TWS119,L2000-02,H05,L2000-03,G09,318.33,601514-19-6,GSK-3,TWS119 is a GSK-3β inhibitor with IC50 of 30 nM; capable of inducing neuronal differentiation and may be useful to stem cell biology.,PI3K/Akt/mTOR
S1880,UCD-0000576,Roxatidine Acetate HCl,L2000-02,H06,L2000-03,G10,384.90,93793-83-0,Histamine Receptor,"Roxatidine Acetate HCl is a specific and competitive histamin H2-receptor antagonist, with IC50 of 3.2 μM, inhibits gastric acid secretion and ulcer formation.",Neuronal Signaling
S2006,UCD-0000324,Pyrimethamine,L2000-02,H07,L2000-03,G11,248.71,58-14-0,DHFR,Pyrimethamine is a dihydrofolate reductase(DHFR) inhibitor with an IC50 of 15.4 nM.,Metabolism
DMSO,,DMSO,L2000-02,D12,L2000-04,B02,,,,,
S2061,UCD-0001078,Lovastatin,L2000-02,H08,L2000-04,B03,404.54,75330-75-5,HMG-CoA Reductase,"Lovastatin is an inhibitor of HMG-CoA reductase with IC50 of 3.4 nM, used for lowering cholesterol (hypolipidemic agent).",Metabolism
S2104,UCD-0000972,Levosulpiride,L2000-02,H09,L2000-04,B04,341.43,23672-07-3,Dopamine Receptor,Levosulpiride is a selective antagonist for D2 dopamine receptors used as an antipsychotic and prokinetic agent.,Neuronal Signaling
DMSO,,DMSO,L2000-02,E12,L2000-04,B05,,,,,
S2168,UCD-0159326,PD128907 HCl,L2000-02,H10,L2000-04,B06,285.77,112960-16-4,Dopamine Receptor,"PD 128907 HCl is a potent and selective dopamine D3 receptor agonist, with EC50 of 0.64 nM, exhibits 53-fold selectivity over dopamine D2 receptor.",Neuronal Signaling
S2222,UCD-0159331,PF-3716556,L2000-02,H11,L2000-04,B07,394.47,928774-43-0,"ATPase,Proton Pump","PF 3716556 is a potent and selective P-CAB (potassium-competitive acid blocker), with pIC50 of 6.026 and 7.095 for the inhibition of porcine H+,K+-ATPase activity in ion-leaky and ion-tight assay, respectively, inhibits gastric acid secretion, displays no activity at Na+,K+-ATPase, used for the treatment of gastroesophageal reflux disease.",Transmembrane Transporters
DMSO,,DMSO,L2000-03,A01,L2000-04,B08,,,,,
S2228,UCD-0159332,Belnacasan (VX-765),L2000-03,A02,L2000-04,B09,509.00,273404-37-8,Caspase,VX-765 is a potent and selective inhibitor of caspase-1 with Ki of 0.8 nM.,Apoptosis
S2460,UCD-0000936,Pramipexole,L2000-03,A03,L2000-04,B10,211.33,104632-26-0,Dopamine Receptor,"Pramipexole is a partial/full D2S, D2L, D3, D4 receptor agonist with a Ki of 3.9, 2.2, 0.5 and 5.1 nM for D2S, D2L, D3, D4 receptor, respectively.",Neuronal Signaling
DMSO,,DMSO,L2000-03,B01,L2000-04,B11,,,,,
S2626,UCD-0001886,LY2603618,L2000-03,A04,L2000-04,C02,436.30,911222-45-2,Chk,LY2603618 is a selective Chk1 inhibitor with potential anti-tumor activity.,Cell Cycle
S2637,UCD-0159344,TAK-875,L2000-03,A05,L2000-04,C03,533.63,1374598-80-7,GPR,"TAK-875 is a selective GPR40 agonist with EC50 of 14 nM, 400-fold more potent than oleic acid.",Endocrinology & Hormones
S2690,UCD-0159350,ADX-47273,L2000-03,A06,L2000-04,C04,369.36,851881-60-2,GluR,"ADX47273 is a potent and specific mGlu5 positive allosteric modulator(PAM) with EC50 of 0.17 μM, showing no activity at other mGlu subtypes.",Neuronal Signaling
S2729,UCD-0159355,SB415286,L2000-03,A07,L2000-04,C05,359.72,264218-23-7,GSK-3,SB415286 is a potent GSK3α inhibitor with IC50/Ki of 78 nM/31 nM with equally effective inhibition of GSK-3β.,PI3K/Akt/mTOR
S2773,UCD-0159361,SB705498,L2000-03,A08,L2000-04,C06,429.23,501951-42-4,TRPV,"SB705498 is a TRPV1 antagonist for hTRPV1, antagonizes capsaicin, acid, and heat activation of TRPV1 with IC50 of 3 nM, 0.1 nM and 6 nM, shows a degree of voltage dependence, exhibits >100-fold selectivity for TRPV1 over TRPM8. Phase 2.",Others
S2801,UCD-0159368,AZD4547,L2000-03,A09,L2000-04,C07,463.57,1035270-39-3,FGFR,"AZD4547 is a novel selective FGFR inhibitor targeting FGFR1/2/3 with IC50 of 0.2 nM/2.5 nM/1.8 nM, weaker activity against FGFR4, VEGFR2(KDR), and little activity observed against IGFR, CDK2, and p38. Phase 1/2.",Angiogenesis
S2824,UCD-0159375,TPCA-1,L2000-03,A10,L2000-04,C08,279.29,507475-17-4,IκB/IKK,"TPCA-1 is an inhibitor of IKK-2 with IC50 of 17.9 nM, inhibits NF-κB pathway, exhibits 22-fold selectivity over IKK-1.",NF-κB
S2863,UCD-0159383,ML130 (Nodinitib-1),L2000-03,A11,L2000-04,C09,287.34,799264-47-4,NOD1,"ML130 is a potent and selective inhibitor of NOD1 with IC50 of 0.56 μM, inhibits NF-κB activation, exhibits 36-fold selectivity over NOD2.",NF-κB
S2233,UCD-0159333,Esomeprazole sodium,L2000-03,B02,L2000-04,C10,367.40,161796-78-7,ATPase,Esomeprazole sodium (Nexium) is a sodium salt of esomeprazole that is a potent proton pump inhibitor with an IC50 of 0.076 mg/kg.,Transmembrane Transporters
S2496,UCD-0001616,Ozagrel,L2000-03,B03,L2000-04,C11,228.25,82571-53-7,P450 (e.g. CYP17),Ozagrel is a potent and selective thromboxane A2 synthetase inhibitor with an IC50 of 4 nM.,Metabolism
S2629,UCD-0159339,PNU-120596,L2000-03,B04,L2000-04,D02,311.72,501925-31-1,AChR,PNU-120596 is a positive allosteric modulator of α7 nAChR with EC50 of 216 nM.,Neuronal Signaling
S2659,UCD-0159345,"5-hydroxymethyl Tolterodine (PNU 200577, 5-HMT, 5-HM)",L2000-03,B05,L2000-04,D03,341.49,207679-81-0,AChR,5-hydroxymethyl tolterodine (PNU 200577) is a new muscarinic receptor antagonist with Kb of 0.84 nM.,Neuronal Signaling
S2694,UCD-0159351,Turofexorate Isopropyl (XL335),L2000-03,B06,L2000-04,D04,438.47,629664-81-9,FXR,"XL335 is a potent, selective FXR agonist with EC50 of 4 nM, highly selective versus other nuclear receptors, such as LXR, PPAR, ER and etc. Phase 1.",Others
S2730,UCD-0001790B,Crenolanib (CP-868596),L2000-03,B07,L2000-04,D05,443.54,670220-88-9,PDGFR,"Crenolanib (CP-868596) is a potent and selective inhibitor of PDGFRα/β with Kd of 2.1 nM/3.2 nM, also potently inhibits FLT3, sensitive to D842V mutation not V561D mutation, >100-fold more selective for PDGFR than c-Kit, VEGFR-2, TIE-2, FGFR-2, EGFR, erbB2, and Src.",Protein Tyrosine Kinase
S2777,UCD-0159362,PF-5274857,L2000-03,B08,L2000-04,D06,436.96,1373615-35-0,Hedgehog/Smoothened,"PF-5274857 is a potent and selective Smoothened (Smo) antagonist, inhibits Hedgehog (Hh) signaling with IC50 and Ki of 5.8 nM and 4.6 nM, respectively, and can penetrate the blood–brain barrier.",Stem Cells &  Wnt
S2804,UCD-0159369,Sirtinol,L2000-03,B09,L2000-04,D07,394.47,410536-97-9,Sirtuin,"Sirtinol is a specific SIRT1 and SIRT2 inhibitor with IC50 of 131 μM and 38 μM, respectively.",Epigenetics
S2825,UCD-0159376,ML133 HCl,L2000-03,B10,L2000-04,D08,313.82,1222781-70-5,Potassium Channel,"ML133 is a selective potassium channel inhibitor for Kir2.1 with IC50 of 1.8 μM (pH 7.4) and 290 nM (pH 8.5), has no effect on Kir1.1 and weak activity for Kir4.1 and Kir7.1.",Transmembrane Transporters
S2864,UCD-0159384,IMD 0354,L2000-03,B11,L2000-04,D09,383.67,978-62-1,IκB/IKK,IMD-0354 is an IKKβ inhibitor and blocks IκBα phosphorylation in NF-κB pathway.,NF-κB
S2262,UCD-0159334,Apigenin,L2000-03,C02,L2000-04,D10,270.24,520-36-5,P450 (e.g. CYP17),Apigenin is a potent P450 inhibitor for CYP2C9 with IC50 of 23 pM.,Metabolism
S2497,UCD-0159338,Pancuronium dibromide,L2000-03,C03,L2000-04,D11,732.67,15500-66-0,AChR,Pancuronium dibromide is a competitive acetylcholine antagonist with an IC50 of 5.5 ± 0.5 nM.,Neuronal Signaling
DMSO,,DMSO,L2000-03,C01,L2000-04,E02,,,,,
S2630,UCD-0159340,GW3965 HCl,L2000-03,C04,L2000-04,E03,618.51,405911-17-3,Liver X Receptor,"GW3965 is a potent, selective LXRagonist for hLXRα and hLXRβ with EC50 of 190 and 30 nM, respectively.",Others
S2662,UCD-0159346,ICG-001,L2000-03,C05,L2000-04,E04,548.63,780757-88-2,Wnt/beta-catenin,"ICG-001 antagonizes Wnt/β-catenin/TCF-mediated transcription and specifically binds to element-binding protein (CBP) with IC50 of 3 μM, but is not the related transcriptional coactivator p300.",Stem Cells &  Wnt
DMSO,,DMSO,L2000-03,D01,L2000-04,E05,,,,,
S2697,UCD-0001900,A-769662,L2000-03,C06,L2000-04,E06,360.39,844499-71-4,AMPK,"A-769662 is a potent, reversible AMPK activator with EC50of 0.8 μM, little effect on GPPase/FBPase activity.",PI3K/Akt/mTOR
S2731,UCD-0159356,AZ 3146,L2000-03,C07,L2000-04,E07,452.55,1124329-14-1,Kinesin,"AZ3146 is a selective Mps1 inhibitor with IC50 of ~35 nM, contributes to recruitment of CENP-E (kinesin-related motor protein), less potent to FAK, JNK1, JNK2, and Kit.",Cytoskeletal Signaling
DMSO,,DMSO,L2000-03,E01,L2000-04,E08,,,,,
S2782,UCD-0159363,GW4064,L2000-03,C08,L2000-04,E09,542.84,278779-30-9,FXR,GW4064 is an agonist of farnesoid X receptor (FXR) with EC50 of 65 nM.,Others
S2807,UCD-0018540,Dabrafenib (GSK2118436),L2000-03,C09,L2000-04,E10,519.56,1195765-45-7,Raf,"Dabrafenib (GSK2118436) is a mutant BRAFV600 specific inhibitor with IC50 of 0.8 nM, with 4- and 6-fold less potency against B-Raf(wt) and c-Raf, respectively. Phase 3.",MAPK
DMSO,,DMSO,L2000-03,F01,L2000-04,E11,,,,,
S2828,UCD-0159377,JNJ-1661010,L2000-03,C10,L2000-04,F02,365.45,681136-29-8,FAAH,"JNJ-1661010 is a potent and selective FAAH inhibitor with IC50 of 10 nM (rat) and 12 nM (human), exhibits >100-fold selectivity for FAAH-1 when compared to FAAH-2.",Metabolism
S2866,UCD-0159385,U-104,L2000-03,C11,L2000-04,F03,309.32,178606-66-1,Carbonic Anhydrase,"U-104 is a potent carbonic anhydrase (CA) inhibitor for CA IX and CA XII with Ki of 45.1 nM and 4.5 nM, respectively, very low inhibition for CA I and CA II.",Metabolism
S2270,UCD-0000684,Bergenin,L2000-03,D02,L2000-04,F04,328.27,477-90-7,Others,Bergenin is trihydroxybenzoic acid glycoside and the C-glycoside of 4-O-methyl gallic acid.,Others
S2549,UCD-0001186,Trospium chloride ,L2000-03,D03,L2000-04,F05,427.96,10405-02-4,AChR,Trospium chloride (Sanctura) is a competitive muscarinic cholinergic receptor antagonist.,Neuronal Signaling
S2631,UCD-0159341,URB597,L2000-03,D04,L2000-04,F06,338.40,546141-08-6,FAAH,"URB597 is a potent, orally bioavailable FAAH inhibitor with IC50 of 4.6 nM, with no activity on other cannabinoid-related targets.",Metabolism
S2666,UCD-0159347,PF-3845,L2000-03,D05,L2000-04,F07,456.46,1196109-52-0,FAAH,"PF-3845 is a potent, selective and irreversible FAAH inhibitor with Ki of 230 nM, showing negligible activity against FAAH2.",Metabolism
S2700,UCD-0001861,KX2-391,L2000-03,D06,L2000-04,F08,431.53,897016-82-9,Src,"KX2-391 (KX01), the first clinical Src inhibitor (peptidomimetic class) that targets the peptide substrate site of Src, with GI50 of 9-60 nM in cancer cell lines. Phase 1/2.",Angiogenesis
S2738,UCD-0159357,PAC-1,L2000-03,D07,L2000-04,F09,392.49,315183-21-2,Caspase,PAC-1 is a potent procaspase-3 activator with EC50 of 0.22 μM and the first small molecule known to directly activate procaspase-3 to caspase-3.,Apoptosis
S2789,UCD-0011696,"Tofacitinib (CP-690550,Tasocitinib)",L2000-03,D08,L2000-04,F10,312.37,477600-75-2,JAK,"Tofacitinib is a novel inhibitor of JAK3 with IC50 of 1 nM, 20- to 100-fold less potent against JAK2 and JAK1.",JAK/STAT
S2808,UCD-0159370,Ipatasertib (GDC-0068),L2000-03,D09,L2000-04,F11,458.00,1001264-89-6,Akt,"GDC-0068 is a highly selective pan-Akt inhibitor targeting Akt1/2/3 with IC50 of 5 nM/18 nM/8 nM, 620-fold selectivity over PKA. Phase 2.",PI3K/Akt/mTOR
